id,category,category_label,asset_kind,source_deck_name,source_deck,source_slide,source_shape_id,source_shape_name,shape_type,auto_shape_type,width,height,rotation,occurrences,preview,asset_png,keywords
icon-0047,icons,图标,picture,李佳1_快速可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\李佳1-fast-reverse\李佳1_快速可编辑复刻.pptx,1,124,Picture 123,13,1,49.5,48.75,0.0,1,previews/icon-0047.png,assets/png/icon-0047.png,picture|123|李佳1|快速可编辑复刻.pptx
icon-0048,icons,图标,picture,rebuilt-slide-02.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-02.pptx,1,10,Picture 9,13,1,72.209,72.209,0.0,1,previews/icon-0048.png,assets/png/icon-0048.png,picture|9|step|target.png|rebuilt|slide|02.pptx
icon-0049,icons,图标,picture,rebuilt-slide-01.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-01.pptx,1,223,Picture 222,13,1,62.087,62.087,0.0,1,previews/icon-0049.png,assets/png/icon-0049.png,picture|222|person|loop.png|rebuilt|slide|01.pptx
icon-0050,icons,图标,picture,rebuilt-slide-02.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-02.pptx,1,30,Picture 29,13,1,72.209,72.209,0.0,1,previews/icon-0050.png,assets/png/icon-0050.png,picture|29|step|check|search.png|rebuilt|slide|02.pptx
icon-0051,icons,图标,picture,rebuilt-slide-01.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-01.pptx,1,232,Picture 231,13,1,35.406,35.406,0.0,1,previews/icon-0051.png,assets/png/icon-0051.png,picture|231|building.png|rebuilt|slide|01.pptx
icon-0052,icons,图标,picture,rebuilt-slide-01.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-01.pptx,1,180,Picture 179,13,1,27.163,27.163,0.0,1,previews/icon-0052.png,assets/png/icon-0052.png,picture|179|spinner.png|rebuilt|slide|01.pptx
icon-0053,icons,图标,picture,识别3-Knight可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\knight-recognize3-rebuild\识别3-Knight可编辑复刻.pptx,1,156,Picture 155,13,1,39.75,39.75,0.0,1,previews/icon-0053.png,assets/png/icon-0053.png,picture|155|识别3|knight可编辑复刻.pptx
icon-0054,icons,图标,picture,李佳1_快速可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\李佳1-fast-reverse\李佳1_快速可编辑复刻.pptx,1,221,Picture 220,13,1,47.25,43.5,0.0,1,previews/icon-0054.png,assets/png/icon-0054.png,picture|220|李佳1|快速可编辑复刻.pptx
icon-0055,icons,图标,picture,识别2-Knight可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\knight-recognize2-rebuild\识别2-Knight可编辑复刻.pptx,1,128,Picture 127,13,1,78.0,78.0,0.0,1,previews/icon-0055.png,assets/png/icon-0055.png,picture|127|识别2|knight可编辑复刻.pptx
icon-0056,icons,图标,picture,识别2-Knight可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\knight-recognize2-rebuild\识别2-Knight可编辑复刻.pptx,1,192,Picture 191,13,1,48.75,48.75,0.0,1,previews/icon-0056.png,assets/png/icon-0056.png,picture|191|识别2|knight可编辑复刻.pptx
